Workers,CPU_Energy,Optimization,Runtime,Memory_Energy,L2_Energy,CPU Power,Memory Power,L2 Power,Total energy,Total power
1,1156759.142,Not vectorized,13331.08811,97758.64497,91288.72736,86.77154727,7.333133212,6.847807667,1345806.514,100.9524881
8,155652.8824,Not vectorized,1771.722774,13194.92832,12403.36152,87.85397166,7.447512961,7.000734935,181251.1722,102.3022196
16,81648.78371,Not vectorized,918.994296,6869.608789,6505.584573,88.84580031,7.47513757,7.079026063,95023.97707,103.3999639
24,56717.8931,Not vectorized,638.278467,4785.488761,4562.256622,88.86073403,7.497493662,7.147752679,66065.63848,103.5059804
32,44059.87277,Not vectorized,496.356263,3742.783125,3584.25985,88.76663005,7.540517577,7.221143596,51386.91574,103.5282912
38,38568.90551,Not vectorized,441.336613,3342.663139,3205.03272,87.39113043,7.57395385,7.262104765,45116.60137,102.227189
1,544252.5245,Vectorized,6260.319696,46319.06626,43312.11681,86.93685801,7.398834007,6.918515173,633883.7075,101.2542072
8,84363.78571,Vectorized,963.9783209,7250.146472,6868.801082,87.51626865,7.521067969,7.125472568,98482.73326,102.1628092
16,49143.20759,Vectorized,558.2512934,4212.946015,4038.629831,88.0306202,7.546683841,7.234429868,57394.78343,102.8117339
24,37328.3084,Vectorized,422.0530175,3164.431117,3060.587946,88.44459547,7.49770997,7.251667017,43553.32746,103.1939725
32,31834.89819,Vectorized,358.7455339,2676.513324,2602.888289,88.73949689,7.460757197,7.255528064,37114.2998,103.4557821
38,28367.60417,Vectorized,318.7935884,2472.045826,2404.23085,88.98423682,7.75437749,7.541653714,33243.88084,104.280268